w,fc,sclass,size3,labunits,mandays,farmvaluee,machinee,buildingse,landimpe,labfame,labcase,conacree,hiredlabe,intereste,opexmachinery,opexbuildings,upkeepe,limee,annuitiese,ratee,insurancee,fuellubse,esbe,phonee,rentretirefame,rentretirenonfame,miscoverheade,dairyinggrossoutput,cattlegrossoutput,sheepgrossoutput,cropsgrossoutput,cropandlivegrossoutput,othergrantsandsubs,aidairy,aicattle,aisheep,advisefee,maritalstat,hohsex,age,offjobtype,offjobinc,childunder5,childunder15,childunder19,loan,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30,sub31,sub32,sub33,sub34,sub35,sub36,sub37,sub38,sub39,sub40,sub41,sub42,sub43,sub44,sub45,sub46,sub47,sub48,sub49,sub50,sub51,sub52,sub53,sub54,sub55,sub56,sub57,sub58,sub59,sub60,sub61,sub62,sub63,sub64,sub65,sub66,sub67,sub68,sub69,sub70,sub71,sub72,sub73,sub74,sub75,sub76,sub77,sub78,sub79,DYave,DYbullave,DYcloseinv,DYmilkgal,DYmilke,DYsubs,DYconcentrates,DYpasture,DYwinfor,DYmisccosts,DYownquota,DYleasedquota,DYletquota,DYquota,DYfat,DYprotein,DYforagearea,DYfeedarea,t
56.12308,13177,131,63.13106,1.69,205.76,780000,16657.45,16820.92,1587.37,25081.67,350,0,0,1012.44,8082,647,800,0,0,0,640,2065,336,750,0,0,4409,-487,26346,0,0,25859,13629,0,0,0,257,1,1,42,1,,0,0,0,14695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0,0,2940,2940,0,0,0,0,30,0,0,0,1280,1280,0,1422,0,12207,0,0,0,0,0,0,1,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,1.58,0,0,0,0,0,130.47,0,350,165312,0,0,0,0,0,2.367415,2.367415,0
56.12308,21190,220,81.74663,1.58,549.28,1680000,37147.29,20060.55,3110.56,23827.58,0,0,0,405.44,7430,834,1729,0,0,0,1000,3875,215,166,0,0,2236,0,48656,7369,4550,60575,22988,0,730,0,0,1,1,50,3,,0,0,2,11962,0,0,0,0,0,0,0,0,0,5155,5155,0,0,0,675,675,0,0,0,4389,7284,0,0,0,0,866,0,0,0,2752,2752,0,0,0,22988,0,0,0,0,265,265,1,.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.57377,19172,306,40.46863,1.33,365.19,396250,6935.81,7249.43,14644.77,20065.33,0,0,0,0,5769,197,1245,0,0,0,293,1072,1399,445,0,0,2864,68688,12912,0,0,81600,11893,1722,0,0,317,1,1,43,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,2100,0,0,0,0,242,0,0,0,400,400,0,3147,0,8746,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.15,0,31242,249159,69170,5419,9450,3441.06,3203.3,5565,221279,525,0,232835,38057.1,42405.2,17.56339,26.87117,0
81.1579,19134,422,31.36319,1.19,163.53,300000,10868.4,2932.51,0,17557.17,0,243,420,297.36,1195,248,82,0,0,0,576,608,130,125,0,0,524,0,12026,0,0,13526,11496,0,0,0,69,1,1,60,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,2600,0,0,0,0,0,0,0,0,1260,1260,0,0,0,0,466,0,0,0,2800,2800,0,2627,0,8869,0,0,0,0,0,0,.94,.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.14815,21306,134,72.84353,1.01,73.06,1000000,1425.87,0,0,15049,0,0,204,0,1729,753,160,0,0,0,99,431,60,50,0,0,1537,0,36922,0,0,36922,24111,0,0,0,69,3,1,63,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10775,0,0,0,0,818,0,0,0,5740,5740,0,0,0,24111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.1579,16202,328,38.84988,1.11,129.42,414000,15771.1,21908.66,3013.27,16637.51,0,2890,0,450,2054,0,320,0,0,0,430,1328,328,205,0,0,1446,0,17941,1028,0,18969,17398.8,0,350,0,364,1,1,64,2,,0,0,0,4000,0,0,0,0,0,4134.68,0,0,0,2241,2241,0,0,0,1410,1410,0,0,0,252,252,0,0,0,0,774,0,0,0,3280,3280,0,3148.13,0,10116,0,0,0,0,13,13,.86,.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.57377,7194,421,49.37172,1.34,260.95,266645,13266.1,36943.96,21804.03,20232.54,0,2030,0,477,5500,723,1299,0,0,0,130,696,755,176,0,0,3384,30761.4,5622,0,0,36383.4,16496,421,0,0,1292,1,1,43,3,,1,1,0,0,0,0,0,0,0,7555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,3535,0,5406,0,0,0,0,0,0,1,.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9,.75,31000,127928,35509.4,3723,2350,1878.32,3720.92,4682,155780,0,0,155780,19052.6,21287,31.95403,35.09439,0
92.70588,18294,524,32.3749,1,70.52,177000,9238.6,6056.86,1485.09,15049,0,1000,0,200,1528,0,576,0,0,0,240,810,30,58,0,0,250,0,8537,0,800,9337,4933,0,224,0,0,1,1,66,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,807,807,0,0,0,0,0,0,0,0,420,420,0,0,0,0,0,0,0,0,880,880,0,2233,0,2700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.176,22491,422,97.1247,1,681.47,1920000,47619.61,189299.8,0,15049,0,0,0,12701,9770,3354,9639,700,0,0,4450,3141,2073,1377,0,0,5440,81518.22,60391,0,0,141909.2,23905,0,0,0,303,1,1,31,3,,0,3,0,154207,0,838,0,0,0,0,0,0,0,0,0,0,0,0,1168,1168,0,0,0,5627,12063,0,0,0,0,5962,0,0,0,0,0,0,4023,0,19882,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8,2.5,50500,300411,78852.22,7473,9803,4354.61,5698.7,11418,318323,0,0,339550,44706.3,52088.8,39.55404,50.23775,0
92.70588,5388,422,25.09055,1.5,140.27,66947,16415.3,5665.62,603.42,22573.5,0,1016,0,352.38,702,460,254,0,0,0,125,465,80,75,0,0,860,0,7192,0,0,8592,7131,0,0,0,0,1,1,52,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133,0,4998,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38775,0,0,0,0,0,0,0,0
